일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","2555","5","0.20","2565","2590","2525","103604","265281280","73107428625","28613475"
"2019/12/27","2550","80","3.24","2465","2575","2465","109067","276573655","72964361250","28613475"
"2019/12/26","2470","-10","-0.40","2585","2840","2440","849877","2239517900","70675283250","28613475"
"2019/12/24","2480","130","5.53","2405","2550","2310","304009","733374990","70961418000","28613475"
"2019/12/23","2350","-65","-2.69","2440","2820","2350","1098778","2863987935","67241666250","28613475"
"2019/12/20","2415","-40","-1.63","2480","2480","2410","50334","122062185","69101542125","28613475"
"2019/12/19","2455","-25","-1.01","2480","2480","2440","34248","84229315","70246081125","28613475"
"2019/12/18","2480","-5","-0.20","2490","2570","2470","29673","74024845","70961418000","28613475"
"2019/12/17","2485","-25","-1.00","2480","2520","2475","44776","111666980","71104485375","28613475"
"2019/12/16","2510","-30","-1.18","2550","2585","2495","24024","60982330","71819822250","28613475"
"2019/12/13","2540","65","2.63","2520","2635","2505","142661","367532595","72678226500","28613475"
"2019/12/12","2475","0","0.00","2475","2520","2450","42079","104435215","70818350625","28613475"
"2019/12/11","2475","-15","-0.60","2505","2545","2400","27807","68861050","70818350625","28613475"
"2019/12/10","2490","-80","-3.11","2545","2570","2460","51279","127770735","71247552750","28613475"
"2019/12/09","2570","-5","-0.19","2575","2580","2525","15168","38661515","73536630750","28613475"
"2019/12/06","2575","-10","-0.39","2600","2600","2510","58063","147374355","73679698125","28613475"
"2019/12/05","2585","-10","-0.39","2650","2650","2565","41998","108999925","73965832875","28613475"
"2019/12/04","2595","-5","-0.19","2620","2620","2545","32049","82393335","74251967625","28613475"
"2019/12/03","2600","-25","-0.95","2645","2645","2570","24870","64517150","74395035000","28613475"
"2019/12/02","2625","20","0.77","2610","2665","2540","73894","192780210","75110371875","28613475"
"2019/11/29","2605","100","3.99","2550","2880","2540","534491","1429940345","74538102375","28613475"
"2019/11/28","2505","-25","-0.99","2530","2590","2500","11656","29610605","71676754875","28613475"
"2019/11/27","2530","-10","-0.39","2540","2560","2495","22867","57294285","72392091750","28613475"
"2019/11/26","2540","65","2.63","2480","2575","2455","28907","72595280","72678226500","28613475"
"2019/11/25","2475","-25","-1.00","2470","2520","2470","23286","58037300","70818350625","28613475"
"2019/11/22","2500","-45","-1.77","2540","2610","2500","13837","34949210","71533687500","28613475"
"2019/11/21","2545","0","0.00","2545","2545","2430","46999","116624190","72821293875","28613475"
"2019/11/20","2545","-40","-1.55","2585","2630","2540","49034","125923225","72821293875","28613475"
"2019/11/19","2585","-15","-0.58","2650","2650","2570","21828","56482925","73965832875","28613475"
"2019/11/18","2600","-30","-1.14","2630","2680","2585","19448","50748115","74395035000","28613475"
"2019/11/15","2630","-20","-0.75","2655","2680","2560","73479","192653635","75253439250","28613475"
"2019/11/14","2650","20","0.76","2630","2660","2610","37240","98128395","75825708750","28613475"
"2019/11/13","2630","-40","-1.50","2725","2725","2615","47050","124303445","75253439250","28613475"
"2019/11/12","2670","0","0.00","2650","2730","2610","71699","191757165","76397978250","28613475"
"2019/11/11","2670","70","2.69","2660","2705","2620","173596","462908535","76397978250","28613475"
"2019/11/08","2600","70","2.77","2535","2940","2495","663180","1803515405","74395035000","28613475"
"2019/11/07","2530","0","0.00","2530","2565","2485","32650","82232315","72392091750","28613475"
"2019/11/06","2530","-45","-1.75","2600","2600","2530","25239","64426080","72392091750","28613475"
"2019/11/05","2575","0","0.00","2555","2670","2540","40505","104232235","73679698125","28613475"
"2019/11/04","2575","95","3.83","2455","2605","2455","55924","141622495","73679698125","28613475"
"2019/11/01","2480","-15","-0.60","2470","2535","2450","29675","73598540","70961418000","28613475"
"2019/10/31","2495","0","0.00","2505","2505","2465","59584","147428855","71390620125","28613475"
"2019/10/30","2495","45","1.84","2535","2950","2445","806661","2166991165","71390620125","28613475"
"2019/10/29","2450","65","2.73","2385","2485","2355","31755","77900870","70103013750","28613475"
"2019/10/28","2385","0","0.00","2365","2410","2335","13112","31060225","68243137875","28613475"
"2019/10/25","2385","-5","-0.21","2390","2445","2355","14400","34357325","68243137875","28613475"
"2019/10/24","2390","-5","-0.21","2395","2425","2315","13717","32666440","68386205250","28613475"
"2019/10/23","2395","-75","-3.04","2475","2475","2395","28845","69605055","68529272625","28613475"
"2019/10/22","2470","-5","-0.20","2480","2495","2410","44073","107731815","70675283250","28613475"
"2019/10/21","2475","-85","-3.32","2550","2575","2475","16773","42385730","70818350625","28613475"
"2019/10/18","2560","0","0.00","2560","2595","2525","24696","62975885","73250496000","28613475"
"2019/10/17","2560","0","0.00","2520","2570","2520","30625","78047395","73250496000","28613475"
"2019/10/16","2560","80","3.23","2520","2670","2505","78807","203226100","73250496000","28613475"
"2019/10/15","2480","50","2.06","2460","2500","2430","10810","26657000","70961418000","28613475"
"2019/10/14","2430","10","0.41","2470","2480","2420","14359","35022805","69530744250","28613475"
"2019/10/11","2420","20","0.83","2400","2760","2375","201848","518543795","69244609500","28613475"
"2019/10/10","2400","-25","-1.03","2440","2440","2365","15276","36614750","68672340000","28613475"
"2019/10/08","2425","45","1.89","2380","2430","2240","31261","72837880","69387676875","28613475"
"2019/10/07","2380","-50","-2.06","2430","2430","2370","15781","37697065","68100070500","28613475"
"2019/10/04","2430","0","0.00","2430","2430","2385","8113","19531745","69530744250","28613475"
"2019/10/02","2430","-45","-1.82","2475","2475","2420","26853","65502140","69530744250","28613475"
"2019/10/01","2475","0","0.00","2530","2530","2340","25262","61732080","70818350625","28613475"
"2019/09/30","2475","45","1.85","2405","2520","2385","31183","76138425","70818350625","28613475"
"2019/09/27","2430","-35","-1.42","2540","2540","2355","32949","79958430","69530744250","28613475"
"2019/09/26","2465","-30","-1.20","2505","2560","2460","23918","59640630","70532215875","28613475"
"2019/09/25","2495","-45","-1.77","2505","2540","2490","27018","67729825","71390620125","28613475"
"2019/09/24","2540","-55","-2.12","2595","2640","2520","30384","77515695","72678226500","28613475"
"2019/09/23","2595","15","0.58","2610","2625","2550","18540","47632530","74251967625","28613475"
"2019/09/20","2580","-5","-0.19","2635","2635","2530","18022","46469105","73822765500","28613475"
"2019/09/19","2585","-25","-0.96","2605","2635","2565","13900","36038760","73965832875","28613475"
"2019/09/18","2610","100","3.98","2510","2625","2510","37682","97474185","74681169750","28613475"
"2019/09/17","2510","-65","-2.52","2575","2585","2455","50303","127326075","71819822250","28613475"
"2019/09/16","2575","0","0.00","2575","2600","2545","25028","64211250","73679698125","28613475"
"2019/09/11","2575","-5","-0.19","2675","2675","2520","17794","45490885","73679698125","28613475"
"2019/09/10","2580","-10","-0.39","2625","2625","2570","17566","45855000","73822765500","28613475"
"2019/09/09","2590","10","0.39","2610","2615","2555","33853","87978815","74108900250","28613475"
"2019/09/06","2580","-30","-1.15","2610","2640","2570","16162","41931470","73822765500","28613475"
"2019/09/05","2610","25","0.97","2580","2690","2530","39706","103129575","74681169750","28613475"
"2019/09/04","2585","20","0.78","2550","2675","2400","58667","150965190","73965832875","28613475"
"2019/09/03","2565","15","0.59","2580","2585","2455","14966","38124200","73393563375","28613475"
"2019/09/02","2550","-20","-0.78","2585","2585","2500","23828","60458675","72964361250","28613475"
"2019/08/30","2570","65","2.59","2530","2590","2495","12051","30624980","73536630750","28613475"
"2019/08/29","2505","0","0.00","2505","2540","2460","4141","10313650","71676754875","28613475"
"2019/08/28","2505","-55","-2.15","2540","2590","2400","77645","191135910","71676754875","28613475"
"2019/08/27","2560","40","1.59","2590","2620","2515","3260","8343205","73250496000","28613475"
"2019/08/26","2520","-60","-2.33","2645","2645","2455","22420","56157000","72105957000","28613475"
"2019/08/23","2580","-55","-2.09","2650","2650","2580","18937","49173580","73822765500","28613475"
"2019/08/22","2635","-15","-0.57","2650","2710","2600","20162","53135915","75396506625","28613475"
"2019/08/21","2650","50","1.92","2600","2670","2555","67343","175547765","75825708750","28613475"
"2019/08/20","2600","-30","-1.14","2630","2730","2600","42670","113135090","74395035000","28613475"
"2019/08/19","2630","40","1.54","2630","2660","2545","36933","96198165","75253439250","28613475"
"2019/08/16","2590","0","0.00","2490","2610","2490","35981","91506355","74108900250","28613475"
"2019/08/14","2590","5","0.19","2580","2630","2525","38731","99829450","74108900250","28613475"
"2019/08/13","2585","-15","-0.58","2570","2650","2500","37607","96253955","73965832875","28613475"
"2019/08/12","2600","-40","-1.52","2610","2640","2550","26292","68068530","74395035000","28613475"
"2019/08/09","2640","-20","-0.75","2740","2740","2590","57526","150553130","75539574000","28613475"
"2019/08/08","2660","260","10.83","2410","2870","2410","279676","739326475","76111843500","28613475"
"2019/08/07","2400","45","1.91","2210","2420","2210","44313","102374305","68672340000","28613475"
"2019/08/06","2355","-65","-2.69","2210","2390","2210","113113","263670220","67384733625","28613475"
"2019/08/05","2420","-265","-9.87","2685","2685","2420","94984","235696435","69244609500","28613475"
"2019/08/02","2685","115","4.47","2570","2725","2475","39052","103020115","76827180375","28613475"
"2019/08/01","2570","40","1.58","2550","2580","2450","33545","84626385","73536630750","28613475"
"2019/07/31","2530","90","3.69","2375","2530","2375","41172","100481865","72392091750","28613475"
"2019/07/30","2440","15","0.62","2400","2510","2360","29003","71008785","69816879000","28613475"
"2019/07/29","2425","-185","-7.09","2555","2570","2415","55525","137460490","69387676875","28613475"
"2019/07/26","2610","-45","-1.69","2580","2685","2520","36360","94257730","74681169750","28613475"
"2019/07/25","2655","5","0.19","2675","2675","2560","57908","151997035","75968776125","28613475"
"2019/07/24","2650","-45","-1.67","2670","2740","2630","38427","102043880","75825708750","28613475"
"2019/07/23","2695","-10","-0.37","2705","2800","2690","41512","113736005","77113315125","28613475"
"2019/07/22","2705","-65","-2.35","2740","2790","2705","17986","48910665","77399449875","28613475"
"2019/07/19","2770","-30","-1.07","2745","2790","2740","25284","69651705","79259325750","28613475"
"2019/07/18","2800","0","0.00","2795","2805","2715","33677","92487300","80117730000","28613475"
"2019/07/17","2800","-20","-0.71","2840","2840","2715","26247","72368780","80117730000","28613475"
"2019/07/16","2820","70","2.55","2750","2830","2695","54542","150317810","80689999500","28613475"
"2019/07/15","2750","-80","-2.83","2835","2870","2725","129256","358737265","78687056250","28613475"
"2019/07/12","2830","120","4.43","2775","2870","2710","62807","174986930","80976134250","28613475"
"2019/07/11","2710","10","0.37","2765","2765","2630","48106","129381500","77542517250","28613475"
"2019/07/10","2700","-85","-3.05","2715","2790","2590","207791","560533215","77256382500","28613475"
"2019/07/09","2785","-10","-0.36","2740","2840","2730","46027","127627335","79688527875","28613475"
"2019/07/08","2795","-100","-3.45","2895","2900","2705","58210","162531425","79974662625","28613475"
"2019/07/05","2895","-30","-1.03","2940","2940","2850","38284","110597375","82836010125","28613475"
"2019/07/04","2925","-20","-0.68","2940","2985","2900","28848","84322460","83694414375","28613475"
"2019/07/03","2945","-5","-0.17","2955","3015","2925","53464","158339530","84266683875","28613475"
"2019/07/02","2950","80","2.79","2870","3010","2870","105160","310153985","84409751250","28613475"
"2019/07/01","2870","-10","-0.35","2880","2950","2835","56238","161348320","82120673250","28613475"
"2019/06/28","2880","-5","-0.17","2875","2925","2820","61119","174876250","82406808000","28613475"
"2019/06/27","2885","-120","-3.99","3005","3025","2860","157002","460659785","82549875375","28613475"
"2019/06/26","3005","-25","-0.83","3030","3055","2990","85792","257500415","85983492375","28613475"
"2019/06/25","3030","-85","-2.73","3115","3140","3030","64854","198896075","86698829250","28613475"
"2019/06/24","3115","55","1.80","3090","3115","3015","40327","124373740","89130974625","28613475"
"2019/06/21","3060","-35","-1.13","3125","3125","3045","49549","151848320","87557233500","28613475"
"2019/06/20","3095","-45","-1.43","3170","3170","3080","41279","128385675","88558705125","28613475"
"2019/06/19","3140","15","0.48","3150","3160","3000","62853","194489990","89846311500","28613475"
"2019/06/18","3125","-45","-1.42","3150","3205","3115","44822","141543320","89417109375","28613475"
"2019/06/17","3170","-65","-2.01","3275","3275","3145","74104","235726085","90704715750","28613475"
"2019/06/14","3235","-45","-1.37","3305","3305","3220","66953","216944430","92564591625","28613475"
"2019/06/13","3280","-15","-0.46","3295","3295","3215","39012","127021635","93852198000","28613475"
"2019/06/12","3295","45","1.38","3215","3295","3210","94696","308676855","94281400125","28613475"
"2019/06/11","3250","0","0.00","3280","3280","3210","56288","182388560","92993793750","28613475"
"2019/06/10","3250","60","1.88","3235","3280","3135","150260","486120040","92993793750","28613475"
"2019/06/07","3190","40","1.27","3150","3200","3055","60678","191637840","91276985250","28613475"
"2019/06/05","3150","15","0.48","3135","3165","3075","77744","243457755","90132446250","28613475"
"2019/06/04","3135","-35","-1.10","3110","3175","3020","192929","596689995","89703244125","28613475"
"2019/06/03","3170","-110","-3.35","3280","3280","3100","131079","414808135","90704715750","28613475"
"2019/05/31","3280","0","0.00","3295","3305","3150","196019","632661425","93852198000","28613475"
"2019/05/30","3280","-105","-3.10","3385","3435","3250","174565","577462630","93852198000","28613475"
"2019/05/29","3385","-80","-2.31","3475","3475","3325","273377","926136025","96856612875","28613475"
"2019/05/28","3465","75","2.21","3350","3465","3350","329095","1119836760","99145690875","28613475"
"2019/05/27","3390","-205","-5.70","3595","3800","3265","1529641","5427699390","96999680250","28613475"
"2019/05/24","3595","95","2.71","3400","3595","3270","834135","2840333775","102865442625","28613475"
"2019/05/23","3500","240","7.36","3280","4060","3275","6560975","24691569460","100147162500","28613475"
"2019/05/22","3260","-5","-0.15","3265","3290","3145","105748","339881675","93279928500","28613475"
"2019/05/21","3265","-100","-2.97","3385","3450","3225","78960","261314290","93422995875","28613475"
"2019/05/20","3365","40","1.20","3310","3450","3280","239771","812122655","96284343375","28613475"
"2019/05/17","3325","-10","-0.30","3365","3365","3255","121595","402500615","95139804375","28613475"
"2019/05/16","3335","60","1.83","3275","3335","3120","129561","424599755","95425939125","28613475"
"2019/05/15","3275","135","4.30","3140","3325","3140","232693","756849830","93709130625","28613475"
"2019/05/14","3140","265","9.22","2780","3150","2735","137556","407368795","89846311500","28613475"
"2019/05/13","2875","-140","-4.64","2955","3040","2865","59153","173256815","82263740625","28613475"
"2019/05/10","3015","-35","-1.15","3020","3125","2925","130268","389147445","86269627125","28613475"
"2019/05/09","3050","-170","-5.28","3155","3220","3050","96290","297623835","87271098750","28613475"
"2019/05/08","3220","5","0.16","3115","3305","3100","127101","402284175","92135389500","28613475"
"2019/05/07","3215","-160","-4.74","3270","3325","3210","87648","285516305","91992322125","28613475"
"2019/05/03","3375","5","0.15","3430","3430","3315","60319","202176565","96570478125","28613475"
"2019/05/02","3370","-5","-0.15","3375","3410","3285","46787","157174065","96427410750","28613475"
"2019/04/30","3375","-65","-1.89","3440","3440","3275","105614","352677620","96570478125","28613475"
"2019/04/29","3440","70","2.08","3375","3440","3300","90918","306786830","98430354000","28613475"
"2019/04/26","3370","-135","-3.85","3480","3530","3340","145250","496418960","96427410750","28613475"
"2019/04/25","3505","-135","-3.71","3665","3665","3495","246390","869357295","100290229875","28613475"
"2019/04/24","3640","25","0.69","3670","3675","3545","139436","502287620","104153049000","28613475"
"2019/04/23","3615","-145","-3.86","3790","3790","3530","226036","814916435","103437712125","28613475"
"2019/04/22","3760","-20","-0.53","3780","3875","3710","190085","718798090","107586666000","28613475"
"2019/04/19","3780","-25","-0.66","3790","3890","3710","281225","1063070875","108158935500","28613475"
"2019/04/18","3805","-80","-2.06","3985","4040","3710","814375","3148600350","108874272375","28613475"
"2019/04/17","3885","315","8.82","3570","3885","3520","1160082","4334197730","111163350375","28613475"
"2019/04/16","3570","160","4.69","3480","3635","3300","826694","2891174835","102150105750","28613475"
"2019/04/15","3410","55","1.64","3380","3420","3300","203855","682731880","97571949750","28613475"
"2019/04/12","3355","10","0.30","3360","3365","3300","126542","420840805","95998208625","28613475"
"2019/04/11","3345","130","4.04","3235","3360","3200","163883","541247375","95712073875","28613475"
"2019/04/10","3215","-40","-1.23","3255","3275","3200","51352","166480755","91992322125","28613475"
"2019/04/09","3255","40","1.24","3220","3290","3150","174672","561975785","93136861125","28613475"
"2019/04/08","3215","-60","-1.83","3275","3275","3175","76664","245774675","91992322125","28613475"
"2019/04/05","3275","0","0.00","3315","3315","3205","88105","286501385","93709130625","28613475"
"2019/04/04","3275","-20","-0.61","3295","3295","3165","104536","335051565","93709130625","28613475"
"2019/04/03","3295","-5","-0.15","3330","3335","3240","53816","175640625","94281400125","28613475"
"2019/04/02","3300","-35","-1.05","3350","3350","3110","88741","292614910","94424467500","28613475"
"2019/04/01","3335","20","0.60","3300","3370","3255","74677","247309125","95425939125","28613475"
"2019/03/29","3315","90","2.79","3225","3315","3150","77770","250213315","94853669625","28613475"
"2019/03/28","3225","-80","-2.42","3305","3335","3225","88132","288678450","92278456875","28613475"
"2019/03/27","3305","40","1.23","3270","3355","3165","148082","482529635","94567534875","28613475"
"2019/03/26","3265","-215","-6.18","3445","3480","3250","317412","1059199135","93422995875","28613475"
"2019/03/25","3480","-65","-1.83","3490","3490","3360","243814","834316875","99574893000","28613475"
"2019/03/22","3545","100","2.90","3450","3590","3415","419336","1468126390","101434768875","28613475"
"2019/03/21","3445","-15","-0.43","3400","3455","3390","147688","504883605","98573421375","28613475"
"2019/03/20","3460","95","2.82","3360","3465","3290","414748","1412212085","99002623500","28613475"
"2019/03/19","3365","270","8.72","3035","3395","3035","977097","3232850060","96284343375","28613475"
"2019/03/18","3095","-35","-1.12","3120","3120","3000","134716","410795485","88558705125","28613475"
"2019/03/15","3130","-155","-4.72","3285","3285","3055","103646","327236395","89560176750","28613475"
"2019/03/14","3285","50","1.55","3210","3285","3190","56920","183714810","93995265375","28613475"
"2019/03/13","3235","-35","-1.07","3290","3290","3205","62664","202042940","92564591625","28613475"
"2019/03/12","3270","-70","-2.10","3345","3370","3265","56685","186546540","93566063250","28613475"
"2019/03/11","3340","85","2.61","3270","3340","3165","78786","257037415","95569006500","28613475"
"2019/03/08","3255","-80","-2.40","3330","3345","3240","75797","248397960","93136861125","28613475"
"2019/03/07","3335","-85","-2.49","3410","3410","3305","94142","313752860","95425939125","28613475"
"2019/03/06","3420","50","1.48","3395","3420","3305","137480","460567415","97858084500","28613475"
"2019/03/05","3370","0","0.00","3370","3465","3325","362666","1228200915","96427410750","28613475"
"2019/03/04","3370","65","1.97","3305","3400","3305","154362","517852500","96427410750","28613475"
"2019/02/28","3305","-155","-4.48","3430","3700","3210","3419951","11846964945","94567534875","28613475"
"2019/02/27","3460","260","8.13","3255","3485","3185","1481471","4981308310","99002623500","28613475"
"2019/02/26","3200","315","10.92","2895","3395","2860","878005","2792598025","91563120000","28613475"
"2019/02/25","2885","-60","-2.04","2945","2945","2835","44140","126794165","82549875375","28613475"
"2019/02/22","2945","75","2.61","2900","2945","2835","49911","145206090","84266683875","28613475"
"2019/02/21","2870","-100","-3.37","3000","3000","2830","66393","193271925","82120673250","28613475"
"2019/02/20","2970","-45","-1.49","3015","3025","2945","105968","315887775","84982020750","28613475"
"2019/02/19","3015","-15","-0.50","3010","3075","2945","89600","267866910","86269627125","28613475"
"2019/02/18","3030","-30","-0.98","3125","3125","3000","34752","105361060","86698829250","28613475"
"2019/02/15","3060","-70","-2.24","3140","3140","3025","51265","157747530","87557233500","28613475"
"2019/02/14","3130","65","2.12","3100","3260","3065","244470","766722735","89560176750","28613475"
"2019/02/13","3065","-10","-0.33","3100","3100","3010","62434","189994000","87700300875","28613475"
"2019/02/12","3075","-10","-0.32","2970","3145","2970","34734","106519065","87986435625","28613475"
"2019/02/11","3085","-45","-1.44","3130","3170","3055","46869","145027140","88272570375","28613475"
"2019/02/08","3130","-10","-0.32","3145","3150","3060","23870","73968020","89560176750","28613475"
"2019/02/07","3140","40","1.29","3075","3140","3045","45600","140900645","89846311500","28613475"
"2019/02/01","3100","50","1.64","3050","3100","2990","67499","205854555","88701772500","28613475"
"2019/01/31","3050","35","1.16","3015","3050","2955","50087","151009310","87271098750","28613475"
"2019/01/30","3015","20","0.67","2990","3200","2900","246294","751186280","86269627125","28613475"
"2019/01/29","2995","-90","-2.92","3130","3130","2910","151663","449251170","85697357625","28613475"
"2019/01/28","3085","-210","-6.37","3295","3295","3030","246304","761145450","88272570375","28613475"
"2019/01/25","3295","-25","-0.75","3350","3350","3115","137194","444361040","94281400125","28613475"
"2019/01/24","3320","85","2.63","3270","3380","3245","239115","789823690","94996737000","28613475"
"2019/01/23","3235","-45","-1.37","3260","3280","3170","39498","127010240","92564591625","28613475"
"2019/01/22","3280","0","0.00","3290","3430","3170","142129","469072225","93852198000","28613475"
"2019/01/21","3280","110","3.47","3165","3345","3165","167336","545342085","93852198000","28613475"
"2019/01/18","3170","95","3.09","3115","3245","3075","101150","317501615","90704715750","28613475"
"2019/01/17","3075","75","2.50","3070","3075","2985","62063","189034765","87986435625","28613475"
"2019/01/16","3000","20","0.67","3020","3020","2965","22923","68634495","85840425000","28613475"
"2019/01/15","2980","55","1.88","2925","3040","2875","33815","100397620","85268155500","28613475"
"2019/01/14","2925","45","1.56","2980","2980","2890","42539","124143295","83694414375","28613475"
"2019/01/11","2880","50","1.77","2870","2945","2830","28713","82620575","82406808000","28613475"
"2019/01/10","2830","10","0.35","2900","2900","2795","35601","100438275","80976134250","28613475"
"2019/01/09","2820","65","2.36","2755","2875","2755","28763","80441645","80689999500","28613475"
"2019/01/08","2755","-115","-4.01","2890","2890","2755","18619","52278105","78830123625","28613475"
"2019/01/07","2870","70","2.50","2785","2915","2730","15295","42957645","82120673250","28613475"
"2019/01/04","2800","-15","-0.53","2770","2815","2635","28503","77592955","80117730000","28613475"
"2019/01/03","2815","-10","-0.35","2770","2830","2770","11349","31797050","80546932125","28613475"
"2019/01/02","2825","25","0.89","2935","2935","2780","18819","52898630","80833066875","28613475"
"2018/12/28","2800","60","2.19","2740","2850","2705","35465","97279235","80117730000","28613475"
"2018/12/27","2740","10","0.37","2750","2790","2680","26997","73486840","78400921500","28613475"
"2018/12/26","2730","-130","-4.55","2790","3030","2700","105209","298981645","78114786750","28613475"
"2018/12/24","2860","-140","-4.67","3000","3080","2800","45662","130611055","81834538500","28613475"
"2018/12/21","3000","-40","-1.32","3070","3080","2950","31000","92972205","85840425000","28613475"
"2018/12/20","3040","40","1.33","2950","3060","2950","25137","75801750","86984964000","28613475"
"2018/12/19","3000","90","3.09","2915","3165","2850","58418","174970530","85840425000","28613475"
"2018/12/18","2910","-90","-3.00","3000","3050","2890","49225","144002095","83265212250","28613475"
"2018/12/17","3000","-80","-2.60","3015","3115","2960","33277","99978890","85840425000","28613475"
"2018/12/14","3080","-15","-0.48","3095","3125","3045","7822","24050905","88129503000","28613475"
"2018/12/13","3095","10","0.32","3085","3135","3065","21585","66650400","88558705125","28613475"
"2018/12/12","3085","-50","-1.59","3135","3135","3080","13884","42904645","88272570375","28613475"
"2018/12/11","3135","0","0.00","3135","3185","3045","30868","95870315","89703244125","28613475"
"2018/12/10","3135","-10","-0.32","3050","3160","3050","21300","65625490","89703244125","28613475"
"2018/12/07","3145","-85","-2.63","3200","3265","3105","18236","58029350","89989378875","28613475"
"2018/12/06","3230","-85","-2.56","3275","3335","3060","44387","142676400","92421524250","28613475"
"2018/12/05","3315","15","0.45","3255","3340","3255","23292","76706750","94853669625","28613475"
"2018/12/04","3300","140","4.43","3160","3475","3110","163290","539716400","94424467500","28613475"
"2018/12/03","3160","-15","-0.47","3215","3265","3130","45477","144376510","90418581000","28613475"
"2018/11/30","3175","25","0.79","3155","3380","3115","96717","313306120","90847783125","28613475"
"2018/11/29","3150","-75","-2.33","3245","3295","3125","39054","124539665","90132446250","28613475"
"2018/11/28","3225","-55","-1.68","3250","3295","3185","39644","128076590","92278456875","28613475"
"2018/11/27","3280","35","1.08","3295","3310","3135","49756","162260220","93852198000","28613475"
"2018/11/26","3245","-30","-0.92","3300","3310","3130","105927","340063835","92850726375","28613475"
"2018/11/23","3275","-35","-1.06","3310","3350","3090","119492","383054385","93709130625","28613475"
"2018/11/22","3310","-85","-2.50","3440","3450","3270","68761","228728400","94710602250","28613475"
"2018/11/21","3395","40","1.19","3340","3475","3265","61001","205803010","97142747625","28613475"
"2018/11/20","3355","120","3.71","3140","3400","3125","111672","367313610","95998208625","28613475"
"2018/11/19","3235","-15","-0.46","3250","3350","3155","67114","219863610","92564591625","28613475"
"2018/11/16","3250","-70","-2.11","3370","3375","3250","79566","263142030","92993793750","28613475"
"2018/11/15","3320","65","2.00","3285","3390","3120","91004","294342395","94996737000","28613475"
"2018/11/14","3255","230","7.60","2900","3310","2865","185070","574223305","93136861125","28613475"
"2018/11/13","3025","-15","-0.49","3005","3035","2790","99177","285617885","86555761875","28613475"
"2018/11/12","3040","-5","-0.16","3090","3275","3005","252607","793384740","86984964000","28613475"
"2018/11/09","3045","420","16.00","2675","3070","2660","432492","1268958395","87128031375","28613475"
"2018/11/08","2625","130","5.21","2525","2775","2455","116763","306625540","75110371875","28613475"
"2018/11/07","2495","-20","-0.80","2510","2545","2400","33967","84123870","71390620125","28613475"
"2018/11/06","2515","75","3.07","2385","2555","2385","52310","129588895","71962889625","28613475"
"2018/11/05","2440","0","0.00","2480","2480","2365","22448","54071565","69816879000","28613475"
"2018/11/02","2440","90","3.83","2315","2440","2315","37250","89639210","69816879000","28613475"
"2018/11/01","2350","75","3.30","2270","2375","2255","49405","115101695","67241666250","28613475"
"2018/10/31","2275","15","0.66","2260","2345","2220","58339","132336800","65095655625","28613475"
"2018/10/30","2260","-35","-1.53","2160","2300","2115","129901","285599715","64666453500","28613475"
"2018/10/29","2295","-305","-11.73","2520","2535","2140","96641","229966920","65667925125","28613475"
"2018/10/26","2600","-55","-2.07","2600","2650","2450","67047","169206990","74395035000","28613475"
"2018/10/25","2655","-95","-3.45","2690","2690","2500","64473","167638270","75968776125","28613475"
"2018/10/24","2750","-120","-4.18","2870","2870","2740","37274","103590200","78687056250","28613475"
"2018/10/23","2870","-10","-0.35","2880","2900","2785","58400","166079530","82120673250","28613475"
"2018/10/22","2880","-10","-0.35","2890","2895","2830","40427","115526555","82406808000","28613475"
"2018/10/19","2890","60","2.12","2820","2925","2760","61891","176007420","82692942750","28613475"
"2018/10/18","2830","5","0.18","2820","2880","2800","32345","91600635","80976134250","28613475"
"2018/10/17","2825","25","0.89","2840","2895","2785","77612","219330345","80833066875","28613475"
"2018/10/16","2800","-210","-6.98","3070","3270","2650","550295","1578791195","80117730000","28613475"
"2018/10/15","3010","210","7.50","2730","3030","2725","277976","798318020","86126559750","28613475"
"2018/10/12","2800","105","3.90","2550","2860","2345","2068977","5261231335","80117730000","28613475"
"2018/10/11","2695","-665","-19.79","3150","3300","2695","140897","414233760","77113315125","28613475"
"2018/10/10","3360","-35","-1.03","3395","3430","3155","102695","335604550","96141276000","28613475"
"2018/10/08","3395","-15","-0.44","3320","3485","3320","46189","157227795","97142747625","28613475"
"2018/10/05","3410","-85","-2.43","3480","3480","3315","70828","239251510","97571949750","28613475"
"2018/10/04","3495","-25","-0.71","3515","3515","3405","54132","186224925","100004095125","28613475"
"2018/10/02","3520","0","0.00","3505","3530","3440","55032","192349675","100719432000","28613475"
"2018/10/01","3520","25","0.72","3430","3535","3430","68888","239303700","100719432000","28613475"
"2018/09/28","3495","-20","-0.57","3500","3500","3405","100082","344925850","100004095125","28613475"
"2018/09/27","3515","-40","-1.13","3515","3560","3490","57694","202310525","100576364625","28613475"
"2018/09/21","3555","-20","-0.56","3555","3590","3530","32031","114032300","101720903625","28613475"
"2018/09/20","3575","-30","-0.83","3605","3605","3545","40658","144991830","102293173125","28613475"
"2018/09/19","3605","0","0.00","3645","3645","3515","65506","232738810","103151577375","28613475"
"2018/09/18","3605","0","0.00","3585","3650","3580","39626","142833980","103151577375","28613475"
"2018/09/17","3605","-40","-1.10","3645","3700","3575","41011","148622730","103151577375","28613475"
